obj,estimator,delta_deg,seed,f_max_level,progress,max_track_err,contact_lost_frac,peak_force,wrist_f_max
48271,,30.0,432158,50.0,1.1281875402412656,0.40113203999633057,0.0,86.60254037844386,50.0
48271,,45.0,204611,50.0,0.9853351212189062,0.6215079588095671,0.0,86.60254037844386,50.0
48271,,45.0,163362,50.0,0.020332036186374455,0.3634176249908452,0.6071428571428571,86.60254037844386,50.0
48271,,45.0,812198,50.0,1.0444710352517015,0.28749892081960005,0.0,86.60254037844386,50.0
48271,,45.0,238198,50.0,1.0386803680760341,0.5531670017937425,0.0,86.60254037844386,50.0
48271,,45.0,147137,50.0,0.8060974384100961,0.48932364934811273,0.0,86.60254037844386,50.0
48271,,45.0,963913,50.0,0.7857424713832386,0.4245936291498848,0.0,86.60254037844386,50.0
48271,,45.0,413008,50.0,0.2811206470743433,0.40248107855490356,0.0,86.60254037844386,50.0
48271,,45.0,245417,50.0,0.9809458518056399,0.4459101998793822,0.0,86.60254037844386,50.0
48271,,45.0,513523,50.0,0.0,0.5764337432023808,0.24324324324324326,86.60254037844386,50.0
48271,,45.0,582894,50.0,0.03989767898496622,0.35620702034127766,0.452991452991453,86.60254037844386,50.0
